Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2019,9,1,13,58,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,##,E 32ND AV,Riley Park
2019,9,1,14,3,ENG - Streets,Streets Operations,Sidewalk - Repair,7##,E 51ST AV,Sunset
2019,9,1,14,3,ENG - Streets,Streets Operations,Streets - General Issues,1800, - 1899 MANITOBA ST,Mount Pleasant
2019,9,1,14,24,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,10##,PARK DRIVE,Marpole
2019,9,1,14,33,DBL - Administration,Administration Branch,General Information Request SR,46##,W 12TH AV,West Point Grey
2019,9,1,14,41,ENG - Streets,Streets Operations,Sidewalk - Repair,14##,E 21ST AV,Kensington-Cedar Cottage
2019,9,1,14,44,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,14##,E 21ST AV,Kensington-Cedar Cottage
2019,9,1,15,9,ENG - Streets,Streets Operations,Street - Repair,Intersection,KASLO ST and KITCHENER ST,Hastings-Sunrise
2019,9,1,15,23,DBL - Inspections,Property Use,PUI General Inquiry Case,8##,ROBSON ST,Downtown
2019,9,1,15,25,DBL - Inspections,Property Use,PUI General Inquiry Case,8##,ROBSON ST,Downtown
2019,9,1,15,34,ENG - Water & Sewer,Waterworks Design,Water Conservation Violation,24##,W 2ND AV,Kitsilano
2019,9,1,15,36,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,34##,E 2ND AV,Hastings-Sunrise
2019,9,1,15,44,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,20##,LILLOOET ST,Hastings-Sunrise
2019,9,1,15,45,ENG - Streets,Streets Operations,Street - Surface Water Flooding,7##,CARDERO ST,West End
2019,9,1,15,52,ENG - Streets,Streets Operations,Sidewalk - Repair,27##,E PENDER ST,Hastings-Sunrise
2019,9,1,16,14,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,22##,E 7TH AV,Grandview-Woodland
2019,9,1,16,22,DBL - Inspections,Property Use,PUI PNE Area Parking Complaint Case,31##,TURNER ST,Hastings-Sunrise
2019,9,1,16,41,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,5##,W 7TH AV,Fairview
2019,9,1,16,48,ENG - Streets,Streets Operations,Pothole - Repair,4##,E KING EDWARD AV,Riley Park
2019,9,1,17,8,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,19##,KINGSWAY,Kensington-Cedar Cottage
2019,9,1,17,17,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,26##,MACKENZIE ST,Kitsilano
2019,9,1,17,28,DBL - Administration,Administration Branch,General Information Request SR,11##,E 13TH AV,Mount Pleasant
2019,9,1,17,30,DBL - Inspections,Property Use,PUI Noise Complaint Case,11##,E 13TH AV,Mount Pleasant
2019,9,1,17,44,ENG - Streets,"Streets, Traffic and Electrical Operations",Street and Traffic Light - Utility Damage,47##,BLENHEIM ST,Dunbar-Southlands
2019,9,1,17,45,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,Intersection,ALBERNI ST and CARDERO ST,West End
2019,9,1,18,12,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,##,W 41ST AV,Oakridge
2019,9,1,18,24,ENG - Streets,Streets Operations,Sidewalk - Repair,7##,E 51ST AV,Sunset
2019,9,1,18,34,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,9##,W 57TH AV,Oakridge
2019,9,1,18,57,ENG - Streets,Streets Operations,Sidewalk - Repair,21##,E KENT AV SOUTH,Victoria-Fraserview
2019,9,1,18,58,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,19##,E 39TH AV,Kensington-Cedar Cottage
2019,9,1,19,10,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,HOWE ST and NELSON ST,Downtown
2019,9,1,19,26,DBL - Inspections,Property Use,PUI Noise Complaint Case,##,WATER ST,Downtown
2019,9,1,19,32,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,24##,OXFORD ST,Hastings-Sunrise
2019,9,1,19,37,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Flat Glass Fixture Request,17##,WATERLOO ST,Kitsilano
2019,9,1,19,39,DBL - Inspections,Property Use,PUI Noise Complaint Case,7##,W 68TH AV,Marpole
2019,9,1,19,39,DBL - Inspections,Property Use,PUI Noise Complaint Case,10##,MAIN ST,Strathcona
2019,9,1,19,45,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,Intersection,COMMERCIAL DRIVE and E 11TH AV,Kensington-Cedar Cottage
2019,9,1,19,49,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,23##,WOODLAND DRIVE,Grandview-Woodland
2019,9,1,19,59,DBL - Inspections,Property Use,PUI Noise Complaint Case,18##,COMMERCIAL DRIVE,Grandview-Woodland
2019,9,1,20,2,DBL - Inspections,Property Use,PUI Noise Complaint Case,10##,MAIN ST,Strathcona
2019,9,1,20,2,ENG - Streets,Streets Operations,Streets - General Issues,21##,COMMERCIAL DRIVE,Grandview-Woodland
2019,9,1,20,14,ENG - Streets,Streets Operations,Pothole - Repair,32##,HEATHER ST,South Cambie
2019,9,1,20,51,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,34##,YUKON ST,Riley Park
2019,9,1,21,2,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,26##,E 8TH AV,Hastings-Sunrise
2019,9,1,21,10,DBL - Inspections,Property Use,PUI Noise Complaint Case,18##,COMMERCIAL DRIVE,Grandview-Woodland
2019,9,1,21,14,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,18##,WINDERMERE ST,Hastings-Sunrise
2019,9,1,21,20,ENG - Streets,Streets Operations,Sidewalk - Repair,6##,LEG-IN-BOOT SQUARE,Fairview
2019,9,1,21,34,DBL - Inspections,Property Use,PUI Noise Complaint Case,80##,FRASER ST,Sunset
2019,9,1,21,42,DBL - Inspections,Property Use,PUI Noise Complaint Case,13##,THE CRESCENT,Shaughnessy
2019,9,1,21,50,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,44##,W 6TH AV,West Point Grey
2019,9,1,21,52,ENG - Streets,Streets Operations,Streets - General Issues,13##,ROLSTON ST,Downtown
2019,9,1,21,55,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,62##,ARLINGTON ST,Killarney
2019,9,1,22,27,DBL - Inspections,Property Use,PUI Noise Complaint Case,10##,DAVIE ST,West End
2019,9,1,22,32,DBL - Inspections,Property Use,PUI Noise Complaint Case,33##,MACDONALD ST,Arbutus-Ridge
2019,9,1,22,58,DBL - Inspections,Property Use,PUI Noise Complaint Case,8##,E 55TH AV,Sunset
2019,9,1,23,1,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,14##,LAMEY'S MILL ROAD,Fairview
2019,9,1,23,21,DBL - Inspections,Property Use,PUI Noise Complaint Case,8##,NELSON ST,Downtown
2019,9,1,23,32,DBL - Inspections,Property Use,PUI Noise Complaint Case,8##,E 55TH AV,Sunset
2019,9,1,23,38,DBL - Inspections,Property Use,PUI Noise Complaint Case,14##,MCRAE AV,Shaughnessy
2019,9,2,1,45,DBL - Inspections,Property Use,PUI Noise Complaint Case,10##,W BROADWAY,Fairview
2019,9,2,3,10,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,23##,ALBERTA ST,Mount Pleasant
2019,9,2,3,12,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,23##,ALBERTA ST,Mount Pleasant
2019,9,2,5,59,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,55##,SLOCAN ST,Renfrew-Collingwood
2019,9,2,6,4,DBL - Inspections,Property Use,PUI Noise Complaint Case,9##,HOMER ST,Downtown
2019,9,2,6,57,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,20##,LILLOOET ST,Hastings-Sunrise
2019,9,2,7,37,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,23##,ALBERTA ST,Mount Pleasant
2019,9,2,7,41,DBL - Inspections,Property Use,PUI Noise Complaint Case,25##,WATERLOO ST,Kitsilano
2019,9,2,7,56,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,Intersection,HEMLOCK ST and W 4TH AV,Fairview
2019,9,2,8,11,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,55##,SLOCAN ST,Renfrew-Collingwood
2019,9,2,8,44,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,23##,ALBERTA ST,Mount Pleasant
2019,9,2,9,28,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,16##,E 12TH AV,Kensington-Cedar Cottage
2019,9,2,9,45,DBL - Inspections,Property Use,PUI Noise Complaint Case,9##,HOMER ST,Downtown
2019,9,2,9,48,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,26##,E 5TH AV,Hastings-Sunrise
2019,9,2,9,53,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,36##,CAMBIE ST,Riley Park
2019,9,2,9,56,Public Safety - Fire,Prevention,FPB_General Inquiry Case,15##,MARPOLE AV,Shaughnessy
2019,9,2,10,1,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,51##,SPENCER ST,Renfrew-Collingwood
2019,9,2,10,28,ENG - Waste Management & Resource Recovery,Sanitation Operations,Collection Calendar Mail-Out Request,43##,W 14TH AV,West Point Grey
2019,9,2,10,29,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,9##,LAGOON DRIVE,West End
2019,9,2,10,29,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,10##,CHESTNUT ST,Kitsilano
2019,9,2,10,32,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,3##,E 49TH AV,Sunset
2019,9,2,10,54,DBL - Inspections,Property Use,PUI Noise Complaint Case,9##,GRANVILLE ST,Downtown
2019,9,2,10,59,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,18##,SE MARINE DRIVE,Victoria-Fraserview
2019,9,2,11,0,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,18##,SW MARINE DRIVE,Kerrisdale
2019,9,2,11,6,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,18##,W 30TH AV,Shaughnessy
2019,9,2,11,21,DBL - Inspections,Property Use,PUI Noise Complaint Case,31##,W 10TH AV,Kitsilano
2019,9,2,11,24,ENG - Water & Sewer,Waterworks Design,Water Conservation Violation,31##,W 10TH AV,Kitsilano
2019,9,2,11,29,ENG - Streets,Streets Operations,Street - Repair,3##,E BROADWAY,Mount Pleasant
2019,9,2,11,41,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,14##,E 39TH AV,Kensington-Cedar Cottage
2019,9,2,11,52,ENG - Water & Sewer,Waterworks Operations,Water General Work Request,62##,VIVIAN ST,Killarney
2019,9,2,12,18,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,32##,TURNER ST,Hastings-Sunrise
2019,9,2,12,28,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,45##,W 4TH AV,West Point Grey
2019,9,2,12,47,ENG - Streets,Streets Operations,Street - Repair,Intersection,DUNBAR ST and W 33RD AV,Dunbar-Southlands
2019,9,2,12,53,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,8##,BUTE ST,West End
2019,9,2,13,30,ENG - Streets,Streets Operations,Street - Repair,19##,POWELL ST,Grandview-Woodland
2019,9,2,13,37,DBL - Inspections,Property Use,PUI Noise Complaint Case,11##,W HASTINGS ST,Downtown
2019,9,2,13,39,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,4##,E 28TH AV,Riley Park
2019,9,2,14,0,DBL - Inspections,Property Use,PUI Noise Complaint Case,52##,TAUNTON ST,Renfrew-Collingwood
2019,9,2,14,13,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,36##,CAMBIE ST,Riley Park
2019,9,2,14,15,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,Intersection,E 56TH AV and ONTARIO ST,Sunset
2019,9,2,14,40,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,7##,W 61ST AV,Marpole
2019,9,2,14,43,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,70##,ONTARIO ST,Sunset
2019,9,2,14,57,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,45##,RUPERT ST,Renfrew-Collingwood
2019,9,2,15,0,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,69##,KERR ST,Killarney
2019,9,2,15,0,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,7##,E GEORGIA ST,Strathcona
2019,9,2,15,0,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,7##,E GEORGIA ST,Strathcona
2019,9,2,15,3,ENG - Streets,Streets Operations,Boulevard Maintenance Issues,24##,E 54TH AV,Victoria-Fraserview
2019,9,2,15,7,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,26##,ST. GEORGE ST,Mount Pleasant
2019,9,2,15,14,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,38##,W 50TH AV,Dunbar-Southlands
2019,9,2,15,24,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,28##,ST. GEORGE ST,Mount Pleasant
2019,9,2,15,25,ENG - Streets,Streets Operations,Sidewalk - Repair,22##,E 43RD AV,Victoria-Fraserview
2019,9,2,15,28,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,33##,E GEORGIA ST,Hastings-Sunrise
2019,9,2,15,32,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,26##,E 20TH AV,Renfrew-Collingwood
2019,9,2,15,51,ENG - Water & Sewer,Waterworks Design,Water Conservation Violation,35##,VICTORIA DRIVE,Kensington-Cedar Cottage
2019,9,2,15,59,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,34##,BRIDGEWAY,Hastings-Sunrise
2019,9,2,16,6,ENG - Streets,Streets Operations,Streets - General Issues,88##,OSLER ST,Marpole
2019,9,2,16,13,ENG - Streets,Streets Operations,Streets - General Issues,10##,SW MARINE DRIVE,Marpole
2019,9,2,16,14,ENG - Streets,Streets Operations,Streets - General Issues,10##,W 14TH AV,Fairview
2019,9,2,16,18,ENG - Water & Sewer,Waterworks Design,Water Conservation Violation,35##,VICTORIA DRIVE,Kensington-Cedar Cottage
2019,9,2,16,35,ENG - Water & Sewer,Waterworks Design,Water Conservation Violation,35##,VICTORIA DRIVE,Kensington-Cedar Cottage
2019,9,2,16,57,ENG - Streets,Streets Operations,Street - Surface Water Flooding,16##,W GEORGIA ST,West End
2019,9,2,17,41,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,33##,E 27TH AV,Renfrew-Collingwood
2019,9,2,17,51,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,8##,KEEFER ST,Strathcona
2019,9,2,17,53,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,23##,GARDEN DRIVE,Grandview-Woodland
2019,9,2,18,0,ENG - Water & Sewer,Waterworks Design,Water Conservation Violation,4##,W 18TH AV,Riley Park
2019,9,2,18,21,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,32##,E 2ND AV,Hastings-Sunrise
2019,9,2,18,24,ENG - Waste Management & Resource Recovery,Sanitation Operations,Collection Calendar Mail-Out Request,36##,OXFORD ST,Hastings-Sunrise
2019,9,2,18,25,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,51##,ST. MARGARETS ST,Renfrew-Collingwood
2019,9,2,18,29,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,14##,W 13TH AV,Fairview
2019,9,2,19,6,ENG - Streets,"Streets, Traffic and Electrical Operations",Street and Traffic Light - Utility Damage,Intersection,E 6TH AV and KEITH DRIVE,Mount Pleasant
2019,9,2,19,6,ENG - Streets,"Streets, Traffic and Electrical Operations",Street and Traffic Light - Utility Damage,Intersection,E 6TH AV and KEITH DRIVE,Strathcona
2019,9,2,19,17,ENG - Streets,Streets Operations,Street - Surface Water Flooding,15##,W 58TH AV,Marpole
2019,9,2,19,18,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,1##,E 56TH AV,Sunset
2019,9,2,19,45,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,26##,GRANT ST,Hastings-Sunrise
2019,9,2,20,28,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,27##,E 53RD AV,Victoria-Fraserview
2019,9,2,20,42,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,35##,BLENHEIM ST,Dunbar-Southlands
2019,9,2,20,58,ENG - Streets,Streets Operations,Sidewalk - Repair,21##,W 6TH AV,Kitsilano
2019,9,2,21,9,DBL - Inspections,Property Use,PUI Noise Complaint Case,11##,MELVILLE ST,Downtown
2019,9,2,21,11,DBL - Inspections,Property Use,PUI Noise Complaint Case,32##,DUMFRIES ST,Kensington-Cedar Cottage
2019,9,2,21,21,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,26##,GRANT ST,Hastings-Sunrise
2019,9,2,21,47,DBL - Inspections,Property Use,PUI Noise Complaint Case,7##,E KING EDWARD AV,Kensington-Cedar Cottage
2019,9,2,22,4,DBL - Inspections,Property Use,PUI Noise Complaint Case,3##,UNADDRESSED LOCATION,
2019,9,2,23,36,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,22##,W 39TH AV,Arbutus-Ridge
2019,9,3,1,10,DBL - Inspections,Property Use,PUI Noise Complaint Case,35##,W 34TH AV,Dunbar-Southlands
2019,9,3,1,32,DBL - Inspections,Property Use,PUI Noise Complaint Case,35##,W 34TH AV,Dunbar-Southlands
2019,9,3,3,19,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,46##,SLOCAN ST,Renfrew-Collingwood
2019,9,3,4,27,DBL - Inspections,Property Use,PUI Noise Complaint Case,33##,MAIN ST,Riley Park
2019,9,3,7,12,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,HEATLEY AV and KEEFER ST,Strathcona
2019,9,3,7,23,ENG - Water & Sewer,Waterworks Design,Water Conservation Violation,9##,E 11TH AV,Mount Pleasant
2019,9,3,8,14,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,Intersection,BELLEVUE DRIVE and SASAMAT ST,
2019,9,3,8,18,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,14##,W 8TH AV,Fairview
2019,9,3,8,20,ENG - Streets,"Streets, Traffic and Electrical Operations",Street and Traffic Light - Utility Damage,3##,E HASTINGS ST,Strathcona
2019,9,3,8,27,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,20##,WAVERLEY AV,Victoria-Fraserview
2019,9,3,8,32,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,34##,MONS DRIVE,Renfrew-Collingwood
2019,9,3,8,38,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,32##,W 41ST AV,Dunbar-Southlands
2019,9,3,8,39,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,22##,E 38TH AV,Kensington-Cedar Cottage
2019,9,3,8,40,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,32##,W 41ST AV,Dunbar-Southlands
2019,9,3,8,41,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,32##,W 41ST AV,Dunbar-Southlands
2019,9,3,8,42,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,33##,W 41ST AV,Dunbar-Southlands
2019,9,3,8,43,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,34##,W 41ST AV,Dunbar-Southlands
2019,9,3,8,44,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,34##,W 41ST AV,Dunbar-Southlands
2019,9,3,8,45,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,Intersection,CAMBIE ST and W 19TH AV,Riley Park
