Corridor Name,StartStreetName,EndStreetName,Route No.,District,Inspector,Side of Street,Type of Street,Clean Corridor,Fiscal Year,Quarter of Inspection,Year/Month,Date of Inspection,Start Time,End Time,Sweeping Day(s),Sweeping Time(s),streetclean_cleanto5,1.1 Litter Count,2.1,2.1 Litter Count,2.2,2.3,2.4,2.5,avg_graffiti,3.2,3.3,4.1,4.2,perc_cleanaroundtrashbin,4.4,4.5,4.6,4.0 Pass?,5.1,5.2,5.3,5.4
Geneva,Paris,Alemany,,11,CSA,Not Recorded,Commercial,No,2006-2007,Q3,2007-09-Mar,3/15/2007 0:00,12:00 PM,Not Recorded,Not Recorded,Not Recorded,2.17,N/A,2.21,N/A,95.1,0.79,No,No,0.25,5.75,4.5,50.00%,50.00%,50.00%,100.00%,100.00%,100.00%,No,50,100,50,100
Santa Rosa,San Jose,Mission,5,11,CSA,Not Recorded,Residential,No,2006-2007,Q3,2007-09-Mar,3/15/2007 0:00,1:30 PM,2:15 PM,Not Recorded,Not Recorded,2.15,N/A,2.23,N/A,98.6,0.34,Yes,No,0.5,5,2.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95.2,100,100,95.2
Anza,25th Avenue,30th Avenue,2,1,CSA,Not Recorded,Residential,No,2006-2007,Q4,2007-10-Apr,4/19/2007 0:00,10:45 AM,11:35 AM,Not Recorded,Not Recorded,1.13,N/A,1.13,N/A,100,0.13,Yes,Yes,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,83.3,16.7,66.7
Clement,21st Avenue,26th Avenue,1,1,CSA,Not Recorded,Commercial,No,2006-2007,Q4,2007-10-Apr,4/19/2007 0:00,12:35 PM,1:12 PM,Not Recorded,Not Recorded,1.4,N/A,1.07,N/A,100,0,Yes,Yes,0.2,0,0,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,20,80,40,60
Fillmore,Union,Chestnut,3,2,CSA,Not Recorded,Commercial,No,2006-2007,Q4,2007-10-Apr,4/13/2007 0:00,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.17,N/A,2.83,N/A,98.2,0,Yes,Yes,0,8,0,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,25,100,75,75
Franklin,Broadway,Greenwich,4,2,CSA,Not Recorded,Residential,No,2006-2007,Q4,2007-10-Apr,4/13/2007 0:00,2:00 PM,4:30 PM,Not Recorded,Not Recorded,1,N/A,1.2,N/A,98.3,0.07,Yes,No,0,1.2,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,90,100
Battery,Union,Broadway,5,3,CSA,East,Commercial,No,2006-2007,Q4,2007-10-Apr,4/17/2007 0:00,2:30 PM,3:05 PM,Not Recorded,Not Recorded,2.39,N/A,1.61,N/A,100,0,Yes,No,0.33,19.33,2.33,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,21.1,100,89.5,84.2
Washington,Larkin,Mason,6,3,CSA,South,Residential,No,2006-2007,Q4,2007-10-Apr,4/17/2007 0:00,12:45 PM,2:02 PM,Not Recorded,Not Recorded,2.55,N/A,1.85,N/A,100,0.45,No,No,0,24.4,4.6,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,Yes,0,91.7,41.7,100
Lincoln,30th Avenue,35th Avenue,8,4,CSA,Not Recorded,Residential,No,2006-2007,Q4,2007-10-Apr,4/12/2007 0:00,11:00 AM,12:00 PM,Not Recorded,Not Recorded,1.07,N/A,1.2,N/A,100,0.2,No,Yes,0,0.2,0.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,75,0,75
Taraval,19th Avenue,24th Avenue,42,4,CSA,Not Recorded,Commercial,No,2006-2007,Q4,2007-10-Apr,4/12/2007 0:00,1:00 PM,2:30 PM,Not Recorded,Not Recorded,1.47,N/A,1.33,N/A,97.5,0.2,Yes,Yes,1.6,0.8,5.2,100.00%,75.00%,100.00%,100.00%,75.00%,100.00%,No,26.3,94.7,26.3,89.5
Fillmore,Post,California,9,5,CSA,Not Recorded,Commercial,No,2006-2007,Q4,2007-10-Apr,4/17/2007 0:00,12:30 PM,2:00 PM,Not Recorded,Not Recorded,1.6,N/A,2,N/A,95.8,0.07,No,No,0.4,0.4,0.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,68.6,100,100,97.1
Webster,Ellis,Fulton,10,5,CSA,Not Recorded,Residential,No,2006-2007,Q4,2007-10-Apr,4/17/2007 0:00,10:30 AM,12:00 PM,Not Recorded,Not Recorded,1.8,N/A,1.67,N/A,95.7,0.13,Yes,No,0,0.2,0.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,70,90,83.3,100
16th Street,Guerrero,Capp,11,6,CSA,Not Recorded,Commercial,No,2006-2007,Q4,2007-10-Apr,4/17/2007 0:00,12:00 PM,1:00 PM,Not Recorded,Not Recorded,1.33,N/A,1.33,N/A,100,0.13,No,No,0.75,0.75,0,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,30,100,100,100
Brannan,Embarcadero,3rd Street,12,6,CSA,Not Recorded,Residential,No,2006-2007,Q4,2007-10-Apr,4/17/2007 0:00,1:30 PM,2:20 PM,Not Recorded,Not Recorded,1.1,N/A,1.15,N/A,100,0,Yes,Yes,0,0.4,0,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,75,100,98.3,100
Monterey,San Rafael,Santa Clara,14,7,CSA,Not Recorded,Residential,No,2006-2007,Q4,2007-10-Apr,4/17/2007 0:00,11:00 AM,12:00 PM,Not Recorded,Not Recorded,1.13,N/A,1.13,N/A,100,0,Yes,Yes,0,0.2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.5,100,100,85
Taraval,14th Avenue,19th Avenue,13,7,CSA,Not Recorded,Commercial,No,2006-2007,Q4,2007-10-Apr,4/17/2007 0:00,12:00 PM,1:30 PM,Not Recorded,Not Recorded,1.5,N/A,2.5,N/A,100,0,Yes,No,0.2,4.4,4.4,100.00%,100.00%,0.00%,0.00%,50.00%,100.00%,No,21.4,92.9,42.9,92.9
Market,Laguna,Noe,15,8,CSA,Not Recorded,Commercial,No,2006-2007,Q4,2007-10-Apr,4/16/2007 0:00,12:45 PM,2:30 PM,Not Recorded,Not Recorded,1.5,N/A,1.75,N/A,99,0.2,Yes,No,1.8,2.4,1,88.90%,100.00%,100.00%,77.80%,100.00%,66.70%,No,98.7,98.7,78.7,90.7
Noe,Market,Duboce,16,8,CSA,Not Recorded,Residential,No,2006-2007,Q4,2007-10-Apr,4/16/2007 0:00,10:45 AM,12:30 PM,Not Recorded,Not Recorded,1.65,N/A,1.6,N/A,100,1.05,Yes,No,0.4,1.2,0.4,100.00%,100.00%,100.00%,100.00%,100.00%,40.00%,Yes,100,100,92.3,86.2
Cesar Chavez,Shotwell,Guerrero,17,9,CSA,South,Commercial,No,2006-2007,Q4,2007-10-Apr,4/18/2007 0:00,2:00 PM,3:00 PM,Not Recorded,Not Recorded,1.38,N/A,1.75,N/A,80.6,0.44,No,No,4.5,0,0.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,100,100,100
Silver,Barneveld,Dunsmuir,18,9,CSA,Not Recorded,Residential,No,2006-2007,Q4,2007-10-Apr,4/18/2007 0:00,4:00 PM,5:00 PM,Not Recorded,Not Recorded,2.15,N/A,2.2,N/A,88.5,0.15,No,Yes,2.8,0,1.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.7,93.3,33.3,100
16th Street,De Haro,Potrero,19,10,CSA,Not Recorded,Commercial,No,2006-2007,Q4,2007-10-Apr,4/18/2007 0:00,3:00 PM,3:45 PM,Not Recorded,Not Recorded,1.75,N/A,1.5,N/A,92.1,0.42,No,No,0,4,7.17,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,63.6,90.9,100,100
Blanken,Tunnel,Gillette,20,10,CSA,Not Recorded,Residential,No,2006-2007,Q4,2007-10-Apr,4/18/2007 0:00,1:25 PM,2:05 PM,Not Recorded,Not Recorded,1.5,N/A,2,N/A,99.5,0.1,Yes,No,0,1,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.4,84.6,15.4,92.3
Brazil,Mission,Edinburgh,22,11,CSA,Not Recorded,Residential,No,2006-2007,Q4,2007-10-Apr,4/10/2007 0:00,8:05 AM,9:25 AM,Not Recorded,Not Recorded,1.4,N/A,1.5,N/A,92.9,0.4,No,No,,1,2.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,100
Randolph,Orizaba,Arch,21,11,CSA,Not Recorded,Commercial,No,2006-2007,Q4,2007-10-Apr,4/10/2007 0:00,9:55 AM,11:05 AM,Not Recorded,Not Recorded,2,N/A,1.6,N/A,96.8,0.2,No,No,0,0,1,100.00%,100.00%,50.00%,100.00%,100.00%,100.00%,Yes,16.7,83.3,33.3,100
Chestnut,Fillmore,Divisadero,6,2,MNC,North,Commercial,Yes,2007-2008,Q1,2008-02-Aug,8/23/2007 0:00,6:00 AM,7:00 AM,Not Recorded,Not Recorded,2.55,N/A,2.2,N/A,94.8,0,No,No,0.4,3,4.2,100.00%,100.00%,77.80%,100.00%,100.00%,100.00%,Yes,82.8,82.8,100,100
Columbus,Pacific,Filbert,3,3,MNC,Northeast,Commercial,No,2007-2008,Q1,2008-02-Aug,8/25/2007 0:00,4:00 PM,5:00 PM,Not Recorded,Not Recorded,1.27,N/A,1,N/A,97,0.4,Yes,No,0,7.6,9.4,75.00%,75.00%,100.00%,100.00%,100.00%,100.00%,No,72.4,72.4,100,100
Taraval,27th Avenue,32nd Avenue,8,4,MNC,North,Commercial,No,2007-2008,Q1,2008-02-Aug,8/25/2007 0:00,6:00 PM,7:00 PM,Not Recorded,Not Recorded,1.5,N/A,1,N/A,97.5,0.1,Yes,Yes,0,5.4,6.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60,60,100,100
Haight,Octavia,Steiner,11,5,MNC,East,Residential,No,2007-2008,Q1,2008-02-Aug,8/25/2007 0:00,5:00 PM,6:00 PM,Not Recorded,Not Recorded,1.73,N/A,1.5,N/A,94.5,2.08,No,No,0.8,23.2,39,100.00%,83.30%,83.30%,100.00%,100.00%,100.00%,No,75,75,97.2,100
Market,3rd Street,8th Street,24,6,MNC,Southeast,Commercial,No,2007-2008,Q1,2008-02-Aug,8/20/2007 0:00,11:00 AM,12:00 PM,Not Recorded,Not Recorded,2.07,N/A,1.55,N/A,97,0,Yes,No,1.8,20.6,43.6,92.90%,100.00%,96.40%,100.00%,100.00%,100.00%,Yes,83.7,83.7,100,100
San Benito,Ocean,St. Francis,17,7,MNC,East,Residential,No,2007-2008,Q1,2008-02-Aug,8/16/2007 0:00,4:00 PM,5:00 PM,Not Recorded,Not Recorded,1.04,N/A,1.04,N/A,99.8,0.2,Yes,Yes,0,1.2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95.5,95.5,93.9,95.5
Dolores,Cesar Chavez,24th Street,13,8,MNC,East,Residential,No,2007-2008,Q1,2008-02-Aug,8/23/2007 0:00,5:00 PM,6:00 PM,Not Recorded,Not Recorded,1.1,N/A,1,N/A,100,0,No,No,0,1.6,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.3,85.3,82.4,100
South Van Ness,21st Street,26th Street,9,9,MNC,East,Residential,No,2007-2008,Q1,2008-02-Aug,8/17/2007 0:00,12:00 PM,1:00 PM,Not Recorded,Not Recorded,2.9,N/A,2.5,N/A,93.5,0.75,No,No,0,8.2,23.2,50.00%,50.00%,50.00%,100.00%,100.00%,100.00%,No,57.1,57.1,94.6,100
San Bruno,Burrows,Olmstead,6,10,MNC,West,Commercial,No,2007-2008,Q1,2008-02-Aug,8/23/2007 0:00,7:30 AM,9:00 AM,Not Recorded,Not Recorded,2.67,N/A,2.27,N/A,91.3,0.13,No,No,0,4,14.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,31.6,31.6,100,100
Jules,De Montfort,Ocean,12,11,MNC,East,Residential,No,2007-2008,Q1,2008-02-Aug,8/25/2007 0:00,2:00 PM,3:00 PM,Not Recorded,Not Recorded,2.73,N/A,2.48,N/A,95,0.35,No,No,0,15,4.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.7,72.7,90.9,90.9
Clement,5th Avenue,10th Avenue,15,1,MNC,North,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/8/2007 0:00,3:30 PM,5:00 PM,Not Recorded,Not Recorded,1.6,N/A,1.1,N/A,96.2,0,No,No,0,1.4,20.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,66.7,66.7,100,100
Clement,5th Avenue,10th Avenue,15,1,MNC,South,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/8/2007 0:00,3:30 PM,5:00 PM,Not Recorded,Not Recorded,2,N/A,1.3,N/A,96.1,0,Yes,No,0,1.4,12.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,91.7,91.7,100,100
Clement,Arguello,5th Avenue,14,1,MNC,North,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/3/2007 0:00,3:30 PM,5:00 PM,Not Recorded,Not Recorded,1,N/A,1,N/A,98.3,0,Yes,No,0,3.25,8,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,85.7,85.7,100,100
Clement,Arguello,5th Avenue,14,1,MNC,North,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/8/2007 0:00,3:30 PM,5:00 PM,Not Recorded,Not Recorded,1.75,N/A,1.13,N/A,97.9,0,Yes,Yes,0,3.5,10,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
Chestnut,Fillmore,Divisadero,6,2,MNC,North,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/27/2007 0:00,1:00 PM,3:15 PM,Not Recorded,Not Recorded,1.24,N/A,1,N/A,97.9,0,No,No,0.2,3,3.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,90,90,100,100
Chestnut,Fillmore,Divisadero,6,2,MNC,South,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/27/2007 0:00,2:00 PM,3:45 PM,Not Recorded,Not Recorded,1.21,N/A,1.06,N/A,97.5,0,No,No,0,4,11.5,90.00%,100.00%,90.00%,100.00%,100.00%,100.00%,Yes,78.9,78.9,100,100
Columbus,Powell,Pacific,1,3,MNC,Northeast,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/22/2007 0:00,2:30 PM,3:30 PM,Not Recorded,Not Recorded,1.47,N/A,1.1,N/A,97.4,0.2,Yes,No,0,2.8,9.4,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,83.3,83.3,100,100
Columbus,Powell,Pacific,1,3,MNC,Southwest,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/22/2007 0:00,2:30 PM,3:30 PM,Not Recorded,Not Recorded,1.57,N/A,1.1,N/A,97.6,0.07,Yes,No,0,8.4,5,75.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,72.4,72.4,100,100
Grant,Broadway,California,2,3,MNC,East,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/27/2007 0:00,3:45 PM,Not Recorded,Not Recorded,Not Recorded,1.42,N/A,1.13,N/A,95.9,0.13,No,No,0,6.8,27.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,,,,
Grant,Broadway,California,2,3,MNC,West,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/27/2007 0:00,3:45 PM,Not Recorded,Not Recorded,Not Recorded,1.73,N/A,1.03,N/A,95.5,0.27,No,No,0,6.4,18.4,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,,,,
Larkin,O'Farrell,Sacramento,5,3,MNC,West,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/20/2007 0:00,3:00 PM,4:00 PM,Not Recorded,Not Recorded,1.9,N/A,1.05,N/A,95.8,0.85,No,No,0.2,24,32.8,100.00%,100.00%,75.00%,100.00%,100.00%,100.00%,Yes,34.8,34.8,80.3,51.5
Irving,19th Avenue,25th Avenue,40,4,MNC,North,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/8/2007 0:00,2:00 PM,Not Recorded,Not Recorded,Not Recorded,1.95,N/A,1.4,N/A,96.1,0,No,No,0.4,5.2,27.2,100.00%,100.00%,83.30%,100.00%,100.00%,100.00%,Yes,66.7,66.7,100,100
Irving,19th Avenue,25th Avenue,40,4,MNC,South,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/8/2007 0:00,2:00 PM,Not Recorded,Not Recorded,Not Recorded,1.45,N/A,1.3,N/A,96.5,0.1,No,No,0,4,11.6,100.00%,100.00%,87.50%,100.00%,100.00%,100.00%,Yes,44.4,44.4,100,100
Haight,Stanyan,Masonic,16,5,MNC,North,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/21/2007 0:00,2:00 PM,3:30 PM,Not Recorded,Not Recorded,1.43,N/A,1.1,N/A,96.4,0.33,No,No,1.4,112.6,62.8,100.00%,100.00%,87.50%,100.00%,100.00%,100.00%,Yes,79.5,82.1,100,100
Haight,Stanyan,Masonic,16,5,MNC,South,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/21/2007 0:00,2:00 PM,3:30 PM,Not Recorded,Not Recorded,1.65,N/A,1.25,N/A,95.2,0,No,No,0.6,110,52.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,69.2,69.2,97.4,97.4
Haight,Webster,Divisadero,17,5,MNC,North,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/21/2007 0:00,3:40 PM,5:00 PM,Not Recorded,Not Recorded,1.07,N/A,1,N/A,97.1,1.07,No,No,0,15.6,18.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,91.3,91.3,95.7,95.7
Haight,Webster,Divisadero,17,5,MNC,South,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/21/2007 0:00,3:40 PM,5:00 PM,Not Recorded,Not Recorded,1,N/A,1,N/A,96.3,1.73,No,Yes,0,22.2,22.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
Market,O'Farrell,Sacramento,5,6,MNC,Southeast,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/20/2007 0:00,3:00 PM,4:00 PM,Not Recorded,Not Recorded,1.5,N/A,1.15,N/A,96.1,0.05,Yes,No,0,14.2,7.4,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,45.5,45.5,95.5,95.5
Mission,Duboce,18th Street,27,6,MNC,West,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/30/2007 0:00,2:00 PM,5:00 PM,Not Recorded,Not Recorded,2.45,N/A,1.95,N/A,95.1,0,No,No,0.2,13.4,35.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,58.7,58.7,100,100
Mission,Duboce,18th Street,27,6,MNC,West,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/30/2007 0:00,2:00 PM,5:00 PM,Not Recorded,Not Recorded,2.5,N/A,2.3,N/A,94.6,0.81,No,No,0.2,18,43.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,51.2,51.2,100,100
Polk,California,O'Farrell,8,6,MNC,East,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/20/2007 0:00,4:00 PM,5:00 PM,Not Recorded,Not Recorded,1.1,N/A,1.1,N/A,95.9,0,Yes,No,0,3.6,10.2,50.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,100,100,100,100
Polk,California,O'Farrell,8,6,MNC,West,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/20/2007 0:00,4:00 PM,5:00 PM,Not Recorded,Not Recorded,1,N/A,1,N/A,96.9,0,Yes,Yes,0,7.4,8.8,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,88.9,88.9,100,100
Ocean,Capitol,Manor,38,7,MNC,North,Commercial,Yes,2007-2008,Q1,2008-03-Sep,9/6/2007 0:00,4:00 PM,Not Recorded,Not Recorded,Not Recorded,1.53,N/A,1.2,N/A,97.5,0,Yes,No,0.2,0.8,16.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,75.7,75.7,97.3,97.3
